state,model,year,tas_degree
Alabama,All Models,2015,17.95798806218027
Alabama,All Models,2016,17.95529480581211
Alabama,All Models,2017,18.02156622979274
Alabama,All Models,2018,18.109974902696205
Alabama,All Models,2019,18.119717749648228
Alabama,All Models,2020,18.193170055843886
Alabama,All Models,2021,18.171188438957227
Alabama,All Models,2022,18.172387915656046
Alabama,All Models,2023,18.329771729984603
Alabama,All Models,2024,18.372217558896377
Alabama,All Models,2025,18.327150353130886
Alabama,All Models,2026,18.370624562698328
Alabama,All Models,2027,18.396679032716737
Alabama,All Models,2028,18.486556876269056
Alabama,All Models,2029,18.451160178543834
Alabama,All Models,2030,18.557944984484777
Alabama,All Models,2031,18.635330566562175
Alabama,All Models,2032,18.6053194808473
Alabama,All Models,2033,18.6083519264504
Alabama,All Models,2034,18.59315774851834
Alabama,All Models,2035,18.661188971859307
Alabama,All Models,2036,18.8097319192509
Alabama,All Models,2037,18.750403847335118
Alabama,All Models,2038,18.84980884615339
Alabama,All Models,2039,18.85687317829938
Alabama,All Models,2040,18.818914938754745
Alabama,All Models,2041,18.837104186594836
Alabama,All Models,2042,18.89891471654342
Alabama,All Models,2043,18.919278383515596
Alabama,All Models,2044,18.923355648687
Alabama,All Models,2045,19.04757637690979
Alabama,All Models,2046,19.076174359764583
Alabama,All Models,2047,19.052093562141817
Alabama,All Models,2048,19.102140503763525
Alabama,All Models,2049,19.074421923277832
Alabama,All Models,2050,19.188381366000172
Alabama,All Models,2051,19.258299024177344
Alabama,All Models,2052,19.331982317837824
Alabama,All Models,2053,19.41360408898558
Alabama,All Models,2054,19.463089613481024
Alabama,All Models,2055,19.384621036413968
Alabama,All Models,2056,19.45440674984096
Alabama,All Models,2057,19.400236858021152
Alabama,All Models,2058,19.602767516627477
Alabama,All Models,2059,19.617636570786008
Alabama,All Models,2060,19.478902701175596
Alabama,All Models,2061,19.61642231796729
Alabama,All Models,2062,19.568053921786245
Alabama,All Models,2063,19.62158844687724
Alabama,All Models,2064,19.638445432258397
Alabama,All Models,2065,19.6726461583918
Alabama,All Models,2066,19.729152841279024
Alabama,All Models,2067,19.821999382250258
Alabama,All Models,2068,19.83170702385182
Alabama,All Models,2069,19.850734433260854
Alabama,All Models,2070,19.8811773935954
Alabama,All Models,2071,19.860060697613363
Alabama,All Models,2072,19.970323342988006
Alabama,All Models,2073,19.8837922529741
Alabama,All Models,2074,19.863487174294235
Alabama,All Models,2075,19.9317452517423
Alabama,All Models,2076,20.008175693858774
Alabama,All Models,2077,19.98207641370371
Alabama,All Models,2078,19.978303342877034
Alabama,All Models,2079,20.064465852217264
Alabama,All Models,2080,20.087561485984132
Alabama,All Models,2081,20.03911248409389
Alabama,All Models,2082,20.16020000342169
Alabama,All Models,2083,20.01683200489393
Alabama,All Models,2084,20.067030507868008
Alabama,All Models,2085,20.08755348667956
Alabama,All Models,2086,20.139137476140824
Alabama,All Models,2087,20.15912851275822
Alabama,All Models,2088,20.163103381070247
Alabama,All Models,2089,20.267656511248987
Alabama,All Models,2090,20.220549253983954
Alabama,All Models,2091,20.28852164528589
Alabama,All Models,2092,20.335015291156214
Alabama,All Models,2093,20.3902038574219
Alabama,All Models,2094,20.321036448623218
Alabama,All Models,2095,20.32514308582655
Alabama,All Models,2096,20.342808243722647
Alabama,All Models,2097,20.376414316350786
Alabama,All Models,2098,20.306919502489517
Alabama,All Models,2099,20.289429820667635
Alabama,All Models,2100,20.315478388468446
Arizona,All Models,2015,16.897700216138166
Arizona,All Models,2016,16.896200239126472
Arizona,All Models,2017,16.92737133196335
Arizona,All Models,2018,16.99855443398786
Arizona,All Models,2019,17.141593276296724
Arizona,All Models,2020,16.99162548813438
Arizona,All Models,2021,17.064168231840192
Arizona,All Models,2022,17.096652431006056
Arizona,All Models,2023,17.15744905620995
Arizona,All Models,2024,17.20682849906988
Arizona,All Models,2025,17.395641717630653
Arizona,All Models,2026,17.428354797753055
Arizona,All Models,2027,17.493412827531976
Arizona,All Models,2028,17.547224155391945
Arizona,All Models,2029,17.563762578075135
Arizona,All Models,2030,17.655758450679876
Arizona,All Models,2031,17.682206190165303
Arizona,All Models,2032,17.71873560451154
Arizona,All Models,2033,17.730707527638113
Arizona,All Models,2034,17.81970112144112
Arizona,All Models,2035,17.804841584538156
Arizona,All Models,2036,17.941442639191358
Arizona,All Models,2037,17.895317356309388
Arizona,All Models,2038,17.93644021181618
Arizona,All Models,2039,17.96094482343927
Arizona,All Models,2040,17.694491739742116
Arizona,All Models,2041,17.724736129260478
Arizona,All Models,2042,17.81108763856317
Arizona,All Models,2043,17.83399420774702
Arizona,All Models,2044,17.835012116979403
Arizona,All Models,2045,17.94213356893573
Arizona,All Models,2046,17.988712471300158
Arizona,All Models,2047,18.06219544332538
Arizona,All Models,2048,18.075411430734125
Arizona,All Models,2049,18.175362460860814
Arizona,All Models,2050,18.246431698825212
Arizona,All Models,2051,18.283847438927875
Arizona,All Models,2052,18.27881826920945
Arizona,All Models,2053,18.30092848575479
Arizona,All Models,2054,18.48622241164701
Arizona,All Models,2055,18.396204538056367
Arizona,All Models,2056,18.502823766072613
Arizona,All Models,2057,18.64293960802485
Arizona,All Models,2058,18.571293709494874
Arizona,All Models,2059,18.584415470470105
Arizona,All Models,2060,18.627419257886505
Arizona,All Models,2061,18.72459676337967
Arizona,All Models,2062,18.734260836514583
Arizona,All Models,2063,18.734164266875318
Arizona,All Models,2064,18.697429945974662
Arizona,All Models,2065,18.768875723174148
Arizona,All Models,2066,18.83514028606995
Arizona,All Models,2067,18.937485238277574
Arizona,All Models,2068,18.88147273208158
Arizona,All Models,2069,18.93047395185993
Arizona,All Models,2070,18.98006012656474
Arizona,All Models,2071,18.998909655484308
Arizona,All Models,2072,18.94593456152716
Arizona,All Models,2073,19.004284841364104
Arizona,All Models,2074,19.102491355664824
Arizona,All Models,2075,19.019077774972647
Arizona,All Models,2076,19.062594604492208
Arizona,All Models,2077,19.04239520448629
Arizona,All Models,2078,19.136596113262776
Arizona,All Models,2079,19.119670590487416
Arizona,All Models,2080,19.16725653446084
Arizona,All Models,2081,19.27833288944131
Arizona,All Models,2082,19.336801008744697
Arizona,All Models,2083,19.227023916533522
Arizona,All Models,2084,19.237642600319624
Arizona,All Models,2085,19.372334786617415
Arizona,All Models,2086,19.29477505539405
Arizona,All Models,2087,19.312635132760736
Arizona,All Models,2088,19.361411585952318
Arizona,All Models,2089,19.452904186826785
Arizona,All Models,2090,19.488880793253603
Arizona,All Models,2091,19.45519969824591
Arizona,All Models,2092,19.525962240045743
Arizona,All Models,2093,19.561127437244785
Arizona,All Models,2094,19.56063312183729
Arizona,All Models,2095,19.544409977306042
Arizona,All Models,2096,19.557564475319623
Arizona,All Models,2097,19.660220163518755
Arizona,All Models,2098,19.478998426957585
Arizona,All Models,2099,19.525153824777338
Arizona,All Models,2100,19.58294037327624
Arkansas,All Models,2015,17.146421721851443
Arkansas,All Models,2016,17.114330165592726
Arkansas,All Models,2017,17.16552450425358
Arkansas,All Models,2018,17.261840073392797
Arkansas,All Models,2019,17.31849150169555
Arkansas,All Models,2020,17.30578571232363
Arkansas,All Models,2021,17.26191295711001
Arkansas,All Models,2022,17.29654427538712
Arkansas,All Models,2023,17.42594930967845
Arkansas,All Models,2024,17.46777112572921
Arkansas,All Models,2025,17.57077235469114
Arkansas,All Models,2026,17.64431989336077
Arkansas,All Models,2027,17.708337119773603
Arkansas,All Models,2028,17.778470889270558
Arkansas,All Models,2029,17.70489556128649
Arkansas,All Models,2030,17.882686908278604
Arkansas,All Models,2031,17.935456156334833
Arkansas,All Models,2032,17.883406302694485
Arkansas,All Models,2033,17.935295598016715
Arkansas,All Models,2034,17.861379675542434
Arkansas,All Models,2035,17.98995308711613
Arkansas,All Models,2036,18.1184266637264
Arkansas,All Models,2037,18.048894213290378
Arkansas,All Models,2038,18.17512920082455
Arkansas,All Models,2039,18.158602850708185
Arkansas,All Models,2040,18.096263076698868
Arkansas,All Models,2041,18.139879439307066
Arkansas,All Models,2042,18.329191086982792
Arkansas,All Models,2043,18.272454510881623
Arkansas,All Models,2044,18.23563071704304
Arkansas,All Models,2045,18.42398590754944
Arkansas,All Models,2046,18.4790989755933
Arkansas,All Models,2047,18.46215390273133
Arkansas,All Models,2048,18.496688450881063
Arkansas,All Models,2049,18.410181716752206
Arkansas,All Models,2050,18.591503824953197
Arkansas,All Models,2051,18.671777424667845
Arkansas,All Models,2052,18.693048708366646
Arkansas,All Models,2053,18.794179673628395
Arkansas,All Models,2054,18.84468697056628
Arkansas,All Models,2055,18.7292600227125
Arkansas,All Models,2056,18.850706169822022
Arkansas,All Models,2057,18.836810395211906
Arkansas,All Models,2058,19.048182863177697
Arkansas,All Models,2059,19.04970186406918
Arkansas,All Models,2060,18.920876300696193
Arkansas,All Models,2061,19.125403490933525
Arkansas,All Models,2062,19.024470843690835
Arkansas,All Models,2063,19.00767132152213
Arkansas,All Models,2064,19.072364934285503
Arkansas,All Models,2065,19.105444636489427
Arkansas,All Models,2066,19.132436867916244
Arkansas,All Models,2067,19.28707366712168
Arkansas,All Models,2068,19.31143879745948
Arkansas,All Models,2069,19.334232549956372
Arkansas,All Models,2070,19.373509655576786
Arkansas,All Models,2071,19.329866917928083
Arkansas,All Models,2072,19.462030491684445
Arkansas,All Models,2073,19.330997756033256
Arkansas,All Models,2074,19.35834030382563
Arkansas,All Models,2075,19.396031790068676
Arkansas,All Models,2076,19.448605959343208
Arkansas,All Models,2077,19.513109611742447
Arkansas,All Models,2078,19.45767357566142
Arkansas,All Models,2079,19.490318991921185
Arkansas,All Models,2080,19.524729468605756
Arkansas,All Models,2081,19.498974297263427
Arkansas,All Models,2082,19.66110813256468
Arkansas,All Models,2083,19.524096645008456
Arkansas,All Models,2084,19.512789535522483
Arkansas,All Models,2085,19.601651486483508
Arkansas,All Models,2086,19.609476332231022
Arkansas,All Models,2087,19.661551319469126
Arkansas,All Models,2088,19.635617527817256
Arkansas,All Models,2089,19.810959683042608
Arkansas,All Models,2090,19.743819785840607
Arkansas,All Models,2091,19.766408515699005
Arkansas,All Models,2092,19.85255067998715
Arkansas,All Models,2093,19.955631452618245
Arkansas,All Models,2094,19.781549893003543
Arkansas,All Models,2095,19.83041845379456
Arkansas,All Models,2096,19.898499945438292
Arkansas,All Models,2097,19.91315849766589
Arkansas,All Models,2098,19.78038103508229
Arkansas,All Models,2099,19.799854648474515
Arkansas,All Models,2100,19.80350255099212
California,All Models,2015,14.961167587320345
California,All Models,2016,14.968134275821898
California,All Models,2017,15.011595201867795
California,All Models,2018,15.101196303079783
California,All Models,2019,15.137499795748516
California,All Models,2020,15.085760777148694
California,All Models,2021,15.168237424040266
California,All Models,2022,15.184585931183507
California,All Models,2023,15.22619738343536
California,All Models,2024,15.192055980622719
California,All Models,2025,15.408815099879417
California,All Models,2026,15.44284239436477
California,All Models,2027,15.520845616366238
California,All Models,2028,15.520999051967365
California,All Models,2029,15.604646388963744
California,All Models,2030,15.6146855321424
California,All Models,2031,15.667561494284076
California,All Models,2032,15.685152958544757
California,All Models,2033,15.684244407761012
California,All Models,2034,15.79337907696138
California,All Models,2035,15.82890266817955
California,All Models,2036,15.896125848022328
California,All Models,2037,15.918356490835551
California,All Models,2038,15.924548528873471
California,All Models,2039,15.938658962517733
California,All Models,2040,15.806458763998085
California,All Models,2041,15.824408915785515
California,All Models,2042,15.897222752388732
California,All Models,2043,15.914427995942352
California,All Models,2044,15.863325623475813
California,All Models,2045,15.93234128274555
California,All Models,2046,16.01152148429164
California,All Models,2047,16.088093391793695
California,All Models,2048,16.13299976828322
California,All Models,2049,16.208005888475117
California,All Models,2050,16.27857011680397
California,All Models,2051,16.2500087044456
California,All Models,2052,16.259848415490374
California,All Models,2053,16.232621094674798
California,All Models,2054,16.40297317504885
California,All Models,2055,16.34642924684469
California,All Models,2056,16.4404365539551
California,All Models,2057,16.56098338040441
California,All Models,2058,16.489842328158314
California,All Models,2059,16.474763581247064
California,All Models,2060,16.55697101246229
California,All Models,2061,16.601859295006978
California,All Models,2062,16.6845740116004
California,All Models,2063,16.676349524295713
California,All Models,2064,16.649191133903756
California,All Models,2065,16.674693333018933
California,All Models,2066,16.706411384813734
California,All Models,2067,16.750868178858923
California,All Models,2068,16.74111706126822
California,All Models,2069,16.79137833335185
California,All Models,2070,16.891232854669767
California,All Models,2071,16.880794085878335
California,All Models,2072,16.84964652783945
California,All Models,2073,16.86412713021945
California,All Models,2074,16.944118141405532
California,All Models,2075,16.90172838153263
California,All Models,2076,16.980045411081047
California,All Models,2077,16.958304179798496
California,All Models,2078,17.01640707073792
California,All Models,2079,17.027403975978064
California,All Models,2080,17.106565960970816
California,All Models,2081,17.170173818414884
California,All Models,2082,17.228024754379756
California,All Models,2083,17.202586214470163
California,All Models,2084,17.163557434082055
California,All Models,2085,17.20695538376319
California,All Models,2086,17.158144528938085
California,All Models,2087,17.186949608542726
California,All Models,2088,17.21502676299126
California,All Models,2089,17.312369190562876
California,All Models,2090,17.363481775919617
California,All Models,2091,17.33189016399964
California,All Models,2092,17.378868692571487
California,All Models,2093,17.392603741270147
California,All Models,2094,17.423849521983776
California,All Models,2095,17.406580283425093
California,All Models,2096,17.33118284976846
California,All Models,2097,17.445097235477355
California,All Models,2098,17.36749716094048
California,All Models,2099,17.413761844057046
California,All Models,2100,17.426280443596138
Colorado,All Models,2015,7.619972192959545
Colorado,All Models,2016,7.562997566683734
Colorado,All Models,2017,7.598478236160902
Colorado,All Models,2018,7.711295975412306
Colorado,All Models,2019,7.832240771997029
Colorado,All Models,2020,7.7924215837793325
Colorado,All Models,2021,7.838620266874225
Colorado,All Models,2022,7.956370937379569
Colorado,All Models,2023,8.024439449746422
Colorado,All Models,2024,8.04412086385828
Colorado,All Models,2025,8.147465201386417
Colorado,All Models,2026,8.119055577225788
Colorado,All Models,2027,8.221656249766172
Colorado,All Models,2028,8.297254234499121
Colorado,All Models,2029,8.281243886740599
Colorado,All Models,2030,8.359361744536013
Colorado,All Models,2031,8.403713061648181
Colorado,All Models,2032,8.47512649399722
Colorado,All Models,2033,8.516766004696379
Colorado,All Models,2034,8.485025677248611
Colorado,All Models,2035,8.565732218814254
Colorado,All Models,2036,8.702816546404827
Colorado,All Models,2037,8.631086313922463
Colorado,All Models,2038,8.755446360698933
Colorado,All Models,2039,8.679712752029229
Colorado,All Models,2040,8.552900110046744
Colorado,All Models,2041,8.57524278150884
Colorado,All Models,2042,8.700513875158782
Colorado,All Models,2043,8.663580070037032
Colorado,All Models,2044,8.650979655948516
Colorado,All Models,2045,8.78549725266756
Colorado,All Models,2046,8.824043632465656
Colorado,All Models,2047,8.911463006858641
Colorado,All Models,2048,8.959826676832545
Colorado,All Models,2049,9.026398261648733
Colorado,All Models,2050,9.085821437314584
Colorado,All Models,2051,9.078113278475698
Colorado,All Models,2052,9.141988650235286
Colorado,All Models,2053,9.17726202300103
Colorado,All Models,2054,9.359376155968892
Colorado,All Models,2055,9.278250214547846
Colorado,All Models,2056,9.35173184943924
Colorado,All Models,2057,9.41771436749085
Colorado,All Models,2058,9.481174792665447
Colorado,All Models,2059,9.533306399258723
Colorado,All Models,2060,9.47284562082004
Colorado,All Models,2061,9.602788289388045
Colorado,All Models,2062,9.57400133537526
Colorado,All Models,2063,9.571005098747507
Colorado,All Models,2064,9.545618773951698
Colorado,All Models,2065,9.622814606175302
Colorado,All Models,2066,9.683807835434445
Colorado,All Models,2067,9.830331212824065
Colorado,All Models,2068,9.76924578348798
Colorado,All Models,2069,9.815115356445336
Colorado,All Models,2070,9.935722397312997
Colorado,All Models,2071,9.870602359193768
Colorado,All Models,2072,9.869690658106972
Colorado,All Models,2073,9.90220870971682
Colorado,All Models,2074,10.02096020091666
Colorado,All Models,2075,9.959066229155592
Colorado,All Models,2076,9.933622903534884
Colorado,All Models,2077,9.935653351292489
Colorado,All Models,2078,10.03265207464047
Colorado,All Models,2079,10.031459889267454
Colorado,All Models,2080,10.074610831520797
Colorado,All Models,2081,10.174866081006623
Colorado,All Models,2082,10.270937913836878
Colorado,All Models,2083,10.133168018225492
Colorado,All Models,2084,10.139747769904883
Colorado,All Models,2085,10.314160549279439
Colorado,All Models,2086,10.21123094269726
Colorado,All Models,2087,10.248133468627953
Colorado,All Models,2088,10.25989623792246
Colorado,All Models,2089,10.362755272605225
Colorado,All Models,2090,10.401827436504965
Colorado,All Models,2091,10.405811760642335
Colorado,All Models,2092,10.389591344197614
Colorado,All Models,2093,10.546626038984842
Colorado,All Models,2094,10.480341766819834
Colorado,All Models,2095,10.501986694335962
Colorado,All Models,2096,10.49701704545457
Colorado,All Models,2097,10.598984053640677
Colorado,All Models,2098,10.376154743541393
Colorado,All Models,2099,10.462902288725905
Colorado,All Models,2100,10.481179393421543
Connecticut,All Models,2015,10.58888601242039
Connecticut,All Models,2016,10.7265720288408
Connecticut,All Models,2017,10.721940569689068
Connecticut,All Models,2018,10.811917539549885
Connecticut,All Models,2019,10.852591019969898
Connecticut,All Models,2020,10.823636065031375
Connecticut,All Models,2021,10.805323282877627
Connecticut,All Models,2022,10.854151488187043
Connecticut,All Models,2023,11.061670684814475
Connecticut,All Models,2024,11.09092009694955
Connecticut,All Models,2025,11.071634367237943
Connecticut,All Models,2026,11.170328173430093
Connecticut,All Models,2027,11.196178787342038
Connecticut,All Models,2028,11.384417539403081
Connecticut,All Models,2029,11.290535089244036
Connecticut,All Models,2030,11.324188887554689
Connecticut,All Models,2031,11.383422207486825
Connecticut,All Models,2032,11.445762335735841
Connecticut,All Models,2033,11.546460295414601
Connecticut,All Models,2034,11.527472584489486
Connecticut,All Models,2035,11.596781667073591
Connecticut,All Models,2036,11.670209848708023
Connecticut,All Models,2037,11.598837249866452
Connecticut,All Models,2038,11.719653535925847
Connecticut,All Models,2039,11.777192466846433
Connecticut,All Models,2040,11.512802934170743
Connecticut,All Models,2041,11.607140382321317
Connecticut,All Models,2042,11.609322815550563
Connecticut,All Models,2043,11.589698992517917
Connecticut,All Models,2044,11.790193633119525
Connecticut,All Models,2045,11.770747189702648
Connecticut,All Models,2046,11.769885250860606
Connecticut,All Models,2047,11.815040195487953
Connecticut,All Models,2048,11.900032990659328
Connecticut,All Models,2049,11.948006912810145
Connecticut,All Models,2050,12.003053847139727
Connecticut,All Models,2051,12.176033377432633
Connecticut,All Models,2052,12.18254499693177
Connecticut,All Models,2053,12.251592099988807
Connecticut,All Models,2054,12.242634623759525
Connecticut,All Models,2055,12.234024697381122
Connecticut,All Models,2056,12.29023484582302
Connecticut,All Models,2057,12.32965630539905
Connecticut,All Models,2058,12.441366587458454
Connecticut,All Models,2059,12.514941787719751
Connecticut,All Models,2060,12.436311563715229
Connecticut,All Models,2061,12.532538814372868
Connecticut,All Models,2062,12.4335995029759
Connecticut,All Models,2063,12.478684705442161
Connecticut,All Models,2064,12.529184544193877
Connecticut,All Models,2065,12.547113483875744
Connecticut,All Models,2066,12.63927969717767
Connecticut,All Models,2067,12.627249482300929
Connecticut,All Models,2068,12.743057470923095
Connecticut,All Models,2069,12.84476884721638
Connecticut,All Models,2070,12.83327341165631
Connecticut,All Models,2071,12.899013618950395
Connecticut,All Models,2072,12.803579378557659
Connecticut,All Models,2073,12.90470908225122
Connecticut,All Models,2074,12.948924086974571
Connecticut,All Models,2075,13.088172668594522
Connecticut,All Models,2076,13.07989298846273
Connecticut,All Models,2077,12.95535996239467
Connecticut,All Models,2078,13.061052696984117
Connecticut,All Models,2079,12.985681736576689
Connecticut,All Models,2080,13.026349038476367
Connecticut,All Models,2081,13.100825761674784
Connecticut,All Models,2082,13.18354690483027
Connecticut,All Models,2083,13.084667683506895
Connecticut,All Models,2084,13.105545796574797
Connecticut,All Models,2085,13.19456722156424
Connecticut,All Models,2086,13.220413153021209
Connecticut,All Models,2087,13.107622813319324
Connecticut,All Models,2088,13.225866503328914
Connecticut,All Models,2089,13.291177316614123
Connecticut,All Models,2090,13.290507424844302
Connecticut,All Models,2091,13.387492975458393
Connecticut,All Models,2092,13.43504082275943
Connecticut,All Models,2093,13.518710949184682
Connecticut,All Models,2094,13.479267838624171
Connecticut,All Models,2095,13.49036589270242
Connecticut,All Models,2096,13.496200162870414
Connecticut,All Models,2097,13.522100118688659
Connecticut,All Models,2098,13.488450760025186
Connecticut,All Models,2099,13.55009362160625
Connecticut,All Models,2100,13.458559960717578
Delaware,All Models,2015,14.288345227922735
Delaware,All Models,2016,14.307371303013415
Delaware,All Models,2017,14.159006100609211
Delaware,All Models,2018,14.230417778378463
Delaware,All Models,2019,14.73632292974565
Delaware,All Models,2020,14.37327074323384
Delaware,All Models,2021,14.45347838628862
Delaware,All Models,2022,14.504201870872883
Delaware,All Models,2023,14.47456021990097
Delaware,All Models,2024,14.693735649472213
Delaware,All Models,2025,14.65314890543622
Delaware,All Models,2026,14.663473292759509
Delaware,All Models,2027,14.93563141595752
Delaware,All Models,2028,14.681797645205567
Delaware,All Models,2029,14.792707606724353
Delaware,All Models,2030,15.023059191022623
Delaware,All Models,2031,14.891978200276716
Delaware,All Models,2032,14.842677052815779
Delaware,All Models,2033,14.608591606503463
Delaware,All Models,2034,14.798081788562616
Delaware,All Models,2035,14.757138824462913
Delaware,All Models,2036,15.349743688674224
Delaware,All Models,2037,14.856766001383486
Delaware,All Models,2038,15.002767544701008
Delaware,All Models,2039,15.456951395670595
Delaware,All Models,2040,15.191468811035179
Delaware,All Models,2041,15.144129689534529
Delaware,All Models,2042,15.234284973144554
Delaware,All Models,2043,15.26682761056085
Delaware,All Models,2044,15.197905476888044
Delaware,All Models,2045,15.379713948567732
Delaware,All Models,2046,15.593363698323591
Delaware,All Models,2047,15.610515848795595
Delaware,All Models,2048,15.538594454810756
Delaware,All Models,2049,15.495028795514811
Delaware,All Models,2050,15.563868459065779
Delaware,All Models,2051,15.371794637044294
Delaware,All Models,2052,15.163711378309484
Delaware,All Models,2053,15.64544039125798
Delaware,All Models,2054,15.65560076678243
Delaware,All Models,2055,15.144773243091747
Delaware,All Models,2056,15.287088860405838
Delaware,All Models,2057,15.63109204327621
Delaware,All Models,2058,15.537613028067152
Delaware,All Models,2059,15.735979546440994
Delaware,All Models,2060,15.443727959526932
Delaware,All Models,2061,15.440735824019843
Delaware,All Models,2062,15.710321327492066
Delaware,All Models,2063,15.657081434461828
Delaware,All Models,2064,15.613531437626614
Delaware,All Models,2065,15.332433460376903
Delaware,All Models,2066,15.545599026150196
Delaware,All Models,2067,15.570575968424501
Delaware,All Models,2068,15.815545936867066
Delaware,All Models,2069,15.499807682743802
Delaware,All Models,2070,16.021095954047333
Delaware,All Models,2071,16.03202915898078
Delaware,All Models,2072,15.799651082356794
Delaware,All Models,2073,15.815219850893397
Delaware,All Models,2074,15.602867522063102
Delaware,All Models,2075,15.725611764413362
Delaware,All Models,2076,15.940955381040242
Delaware,All Models,2077,15.734130124692586
Delaware,All Models,2078,15.981685045030405
Delaware,All Models,2079,15.891116785120104
Delaware,All Models,2080,15.726694573296463
Delaware,All Models,2081,15.740445850513622
Delaware,All Models,2082,15.585554165310352
Delaware,All Models,2083,15.656952017324965
Delaware,All Models,2084,15.56566094292537
Delaware,All Models,2085,15.849166418004941
Delaware,All Models,2086,15.826094281231939
Delaware,All Models,2087,15.898354254828583
Delaware,All Models,2088,15.878942532009571
Delaware,All Models,2089,15.70451196741177
Delaware,All Models,2090,15.695803719979768
Delaware,All Models,2091,15.687363349066864
Delaware,All Models,2092,16.044872820818888
Delaware,All Models,2093,15.831564557110845
Delaware,All Models,2094,15.841216871473547
Delaware,All Models,2095,15.815860437463854
Delaware,All Models,2096,15.69115318015772
Delaware,All Models,2097,15.834667742693888
Delaware,All Models,2098,16.188568228262465
Delaware,All Models,2099,15.869250657823374
Delaware,All Models,2100,15.897699257179566
Florida,All Models,2015,22.49965988519626
Florida,All Models,2016,22.486734589504156
Florida,All Models,2017,22.56425035932248
Florida,All Models,2018,22.603779333720396
Florida,All Models,2019,22.625633954626394
Florida,All Models,2020,22.677660332231053
Florida,All Models,2021,22.69025262495243
Florida,All Models,2022,22.684171951606125
Florida,All Models,2023,22.820463473874334
Florida,All Models,2024,22.899265488533935
Florida,All Models,2025,22.796348811474818
Florida,All Models,2026,22.824275191929477
Florida,All Models,2027,22.912605778680778
Florida,All Models,2028,22.928725286218267
Florida,All Models,2029,22.93366480762781
Florida,All Models,2030,22.97272694710725
Florida,All Models,2031,23.065109492627162
Florida,All Models,2032,23.041805999093302
Florida,All Models,2033,23.01868108016171
Florida,All Models,2034,23.045951381405672
Florida,All Models,2035,23.12582482816618
Florida,All Models,2036,23.22306788263043
Florida,All Models,2037,23.188824227090713
Florida,All Models,2038,23.233708169481634
Florida,All Models,2039,23.265844806461672
Florida,All Models,2040,23.199423101039553
Florida,All Models,2041,23.227254392279974
Florida,All Models,2042,23.222892400606103
Florida,All Models,2043,23.227499283337224
Florida,All Models,2044,23.307942368554308
Florida,All Models,2045,23.406786584072446
Florida,All Models,2046,23.404886083133906
Florida,All Models,2047,23.414964992752513
Florida,All Models,2048,23.43548397835489
Florida,All Models,2049,23.42770424722976
Florida,All Models,2050,23.500241455745197
Florida,All Models,2051,23.647094541607505
Florida,All Models,2052,23.707481731068025
Florida,All Models,2053,23.735131812818146
Florida,All Models,2054,23.760928159771566
Florida,All Models,2055,23.763492792302934
Florida,All Models,2056,23.78359843167394
Florida,All Models,2057,23.81343856580332
Florida,All Models,2058,23.89786124951914
Florida,All Models,2059,23.916824317700957
Florida,All Models,2060,23.854237296364545
Florida,All Models,2061,23.915165768247686
Florida,All Models,2062,23.932119820334716
Florida,All Models,2063,23.98241962086073
Florida,All Models,2064,23.974084565133783
Florida,All Models,2065,24.008775861335547
Florida,All Models,2066,24.05657505844581
Florida,All Models,2067,24.084223429362
Florida,All Models,2068,24.11828501152272
Florida,All Models,2069,24.135619284889938
Florida,All Models,2070,24.15627427534626
Florida,All Models,2071,24.140349890969038
Florida,All Models,2072,24.2025373516661
Florida,All Models,2073,24.18626579515864
Florida,All Models,2074,24.165203718705634
Florida,All Models,2075,24.228394514141684
Florida,All Models,2076,24.30023046551331
Florida,All Models,2077,24.257441433993275
Florida,All Models,2078,24.27947070959845
Florida,All Models,2079,24.320511997107324
Florida,All Models,2080,24.323684102838712
Florida,All Models,2081,24.315320795232623
Florida,All Models,2082,24.4044253031413
Florida,All Models,2083,24.295184753880378
Florida,All Models,2084,24.36177400531193
Florida,All Models,2085,24.37659701723043
Florida,All Models,2086,24.437654969186514
Florida,All Models,2087,24.427283801454507
Florida,All Models,2088,24.44627167672824
Florida,All Models,2089,24.518223964806783
Florida,All Models,2090,24.489300571788462
Florida,All Models,2091,24.517137804898372
Florida,All Models,2092,24.569199544733245
Florida,All Models,2093,24.593489155624873
Florida,All Models,2094,24.590228884147898
Florida,All Models,2095,24.618316650390646
Florida,All Models,2096,24.54628406871451
Florida,All Models,2097,24.59108563047469
Florida,All Models,2098,24.552041267626237
Florida,All Models,2099,24.562465644605254
Florida,All Models,2100,24.58581746419273
Georgia,All Models,2015,18.054670923588493
Georgia,All Models,2016,18.072260682914536
Georgia,All Models,2017,18.14471141584904
Georgia,All Models,2018,18.233896985391954
Georgia,All Models,2019,18.24549831080001
Georgia,All Models,2020,18.30925373577758
Georgia,All Models,2021,18.315741851843388
Georgia,All Models,2022,18.29983771332193
Georgia,All Models,2023,18.457844695861326
Georgia,All Models,2024,18.518069263371054
Georgia,All Models,2025,18.457821546142913
Georgia,All Models,2026,18.504623428676037
Georgia,All Models,2027,18.543906713415097
Georgia,All Models,2028,18.58973550224063
Georgia,All Models,2029,18.586410460100648
Georgia,All Models,2030,18.68224958904556
Georgia,All Models,2031,18.74848117170665
Georgia,All Models,2032,18.733087382310522
Georgia,All Models,2033,18.712120500469595
Georgia,All Models,2034,18.721638106812637
